排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
189,2340,台亞,34.0,1.05,3.19,09/18,0.29,0.34,0.65,0.54,0.51,1.66,0.16,0.87,2.03,-0.67,-9.14,2.69
190,5209,新鼎,174.5,-1.5,-0.85,09/18,0.11,0.33,0.5,0.54,1.05,0.89,0.28,0.31,0.97,-0.33,1.48,0.21
191,8182,加高,39.5,0.65,1.67,09/18,0.11,0.23,0.32,0.54,0.49,0.34,0.89,-0.26,-0.19,-0.17,-0.15,-0.2
192,2034,允強,21.45,0.4,1.9,09/18,0.28,0.46,0.48,0.54,0.56,1.69,2.46,3.73,1.97,-1.12,-6.21,2.65
193,2254,巨鎧精密-創,76.8,1.6,2.13,09/18,0.36,0.52,0.3,0.54,0.63,0.67,0.73,0.81,0.84,,,0.92
194,6139,亞翔,733.0,37.0,5.32,09/18,0.39,0.25,0.24,0.53,0.33,-1.22,-8.15,-7.79,-2.05,-6.52,5.69,-10.1
195,2820,華票,17.45,0.0,0.0,09/18,0.05,0.27,0.34,0.53,1.11,1.64,0.86,1.85,1.81,4.18,1.95,1.81
196,6259,百徽,29.25,1.1,3.91,09/18,0.27,0.31,0.36,0.53,0.22,-0.1,-1.15,1.26,1.52,1.61,-1.23,1.53
197,8091,翔名,215.0,1.5,0.7,09/18,0.0,0.06,0.44,0.53,0.5,0.15,-0.96,-2.76,-4.7,-4.94,-4.49,-2.59
198,3518,柏騰,30.9,-0.2,-0.64,09/18,0.05,0.31,0.47,0.53,0.46,-0.09,-2.18,-0.7,-0.61,0.04,-2.41,-0.55
199,3357,臺慶科,207.5,7.5,3.75,09/18,0.22,0.27,0.25,0.52,0.55,-0.15,-2.72,1.75,-0.58,1.19,,1.44
200,3297,杭特,33.1,3.0,9.97,09/18,0.5,0.65,0.56,0.52,0.47,0.47,-0.08,-1.36,0.73,0.99,1.24,-0.59
201,2103,台橡,27.6,-0.6,-2.13,09/18,-0.14,0.3,0.54,0.51,0.06,0.4,3.33,6.26,2.26,0.65,-5.64,5.53
202,4541,晟田,62.0,4.5,7.83,09/18,0.62,0.67,0.62,0.51,0.18,-2.84,-2.59,3.61,0.38,6.7,4.46,6.22
203,8109,博大,134.0,3.5,2.68,09/18,0.32,0.35,0.41,0.5,0.4,-0.4,-2.72,-2.03,-1.24,-1.52,-1.76,-0.33
204,2605,新興,36.1,-1.05,-2.83,09/18,-0.38,0.74,1.03,0.5,1.42,-0.11,2.48,2.85,16.2,17.3,20.2,16.3
205,2233,宇隆,162.0,5.0,3.18,09/18,0.09,0.11,0.25,0.49,0.77,1.54,3.72,8.12,4.28,3.25,-0.41,7.37
