排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
203,6199,天品,102.5,0.0,0.0,09/16,-0.66,-1.15,-0.99,10.2,11.0,8.06,112.0,51.9,206.0,46.7
204,3049,精金,12.05,0.25,2.12,09/16,0.12,1.37,6.53,10.1,22.3,,,,,
205,3413,京鼎,276.5,2.5,0.91,09/16,0.96,2.82,3.95,10.1,19.5,65.3,25.4,-14.5,129.0,16.9
206,6272,驊陞,27.75,1.35,5.11,09/16,3.79,6.98,8.81,10.1,136.0,103.0,,,,
207,3042,晶技,185.5,4.5,2.49,09/16,-2.97,-4.43,-5.09,10.1,-5.37,-0.09,15.2,93.0,23.1,-21.5
208,6527,明達醫,75.2,0.2,0.27,09/16,0.0,0.0,10.0,10.0,175.0,175.0,,,,
209,4566,時碩工業,64.1,1.3,2.07,09/16,-1.14,-0.39,0.68,9.99,26.2,42.8,22.7,73.7,22.2,26.2
210,6922,宸曜,184.5,3.0,1.65,09/16,0.0,0.91,2.8,9.97,17.0,1.01,-45.4,-42.2,-7.3,-41.9
211,2455,全新,515.0,-5.0,-0.96,09/16,11.5,11.5,10.9,9.84,-0.53,-42.5,-30.2,-60.8,-48.7,-10.3
212,3406,玉晶光,1005.0,90.0,9.84,09/16,1.23,1.01,1.37,9.84,-3.01,-1.89,33.2,-19.3,-11.1,-15.7
213,3055,蔚華科,164.0,6.5,4.13,09/16,0.0,-0.9,-0.94,9.82,22.6,125.0,22.4,42.9,-19.1,27.2
214,6209,今國光,80.0,4.4,5.82,09/16,1.19,1.66,7.13,9.79,8.04,21.7,44.5,59.1,380.0,67.5
215,7711,永擎,514.0,46.0,9.83,09/16,4.08,3.85,2.95,9.78,58.5,19.2,75.6,,,
216,3060,銘異,26.1,0.6,2.35,09/16,0.05,1.91,3.25,9.78,23.8,34.6,-14.6,-58.5,12.3,-67.4
217,00685L,群益臺灣加權正2,11.73,0.18,1.56,09/16,-0.4,5.97,6.0,9.74,10.8,27.6,29168.0,19908.0,52074.0,20695.0
218,3088,艾訊,124.0,1.5,1.22,09/16,-2.04,-0.08,3.18,9.68,28.2,25.8,-34.2,40.0,-21.9,-10.9
219,4744,皇將,30.15,2.7,9.84,09/16,1.8,2.41,6.25,9.68,22.3,82.8,-74.4,-57.3,-47.4,-51.6
220,4576,大銀微系統,233.0,2.5,1.08,09/16,3.14,8.28,9.8,9.66,23.2,9.32,18.2,-14.5,-56.1,-44.4
221,6716,應廣,118.5,3.5,3.04,09/16,0.35,4.78,3.26,9.62,28.4,0.35,24.5,99.3,220.0,88.7
222,8074,鉅橡,50.3,1.45,2.97,09/16,0.87,4.43,6.28,9.57,23.0,-17.4,-25.9,-32.3,42.0,-39.7
223,4585,達明,294.5,-1.5,-0.51,09/16,2.17,5.85,6.93,9.55,18.2,24.1,65.4,135.0,,
224,9802,鈺齊-KY,63.7,-0.1,-0.16,09/16,1.99,3.41,5.86,9.5,14.5,4.28,-5.55,-38.7,144.0,-30.9
225,2881,富邦金,153.0,2.0,1.32,09/16,3.85,5.11,4.99,9.49,32.6,50.4,-31.0,-67.0,-71.0,-65.0
226,9921,巨大,90.7,-0.4,-0.44,09/16,0.09,0.83,1.74,9.47,7.65,-9.53,-6.88,82.4,70.8,159.0
227,1783,和康生,36.25,0.05,0.14,09/16,0.0,3.23,8.02,9.4,10.8,-15.2,-25.8,1.19,-3.03,27.4
228,2538,基泰,8.63,0.0,0.0,09/16,1.18,3.91,6.23,9.36,25.8,35.6,99.7,130.0,104.0,81.4
229,6925,意藍,57.8,-2.9,-4.78,09/16,9.3,9.3,9.3,9.3,3.3,-4.08,59.3,95.8,176.0,104.0
230,6456,GIS-KY,64.8,3.2,5.19,09/16,-0.11,3.32,4.4,9.29,6.41,-2.24,27.9,100.0,501.0,140.0
231,5410,國眾,33.1,0.3,0.91,09/16,-1.07,0.11,2.56,9.29,13.7,20.4,4.38,-9.67,48.4,-26.7
232,6796,晉弘,50.2,-0.7,-1.38,09/16,6.75,6.75,6.75,9.21,9.21,1.07,-35.4,-19.1,295.0,160.0
