股票代號,股票名稱,法人持股,上榜區塊,累積衰退
2428,興勤,18.024167724446045,"20日衰退,5日衰退,10日衰退,30日衰退",-2.4580006937015817
2434,統懋,2.956408108108108,"5日衰退,10日衰退",-0.7972972972972974
2439,美律,-8.719905904913986,"20日衰退,10日衰退,30日衰退",-0.9049298996785726
2440,太空梭,0.6819452532245259,"20日衰退,5日衰退,10日衰退,30日衰退",-0.45221990618260477
2444,兆勁,2.2689977313383016,30日衰退,-1.6619690936379148
2449,京元電子,22.24304113207672,"20日衰退,5日衰退,10日衰退,30日衰退",-0.7180392327824912
2458,義隆,22.494089206519124,"20日衰退,5日衰退,10日衰退",-0.8731097053474883
2471,資通,4.753482957699355,"30日衰退,20日衰退",-1.0836183878195005
2472,立隆電,17.183851753132668,"20日衰退,5日衰退,10日衰退",-1.6806777629353
2476,鉅祥,10.501158967101725,5日衰退,-0.5425213283513557
2478,大毅,13.508451454525686,"20日衰退,5日衰退,10日衰退,30日衰退",-6.948893676648707
2480,敦陽科,11.043647420821742,10日衰退,-0.6390615704501972
2481,強茂,23.49770627358925,"20日衰退,5日衰退,10日衰退,30日衰退",-2.5161006572245235
2482,連宇,1.107760627002314,20日衰退,-0.9942120488075972
2483,百容,5.559886084234074,"20日衰退,5日衰退,10日衰退",-0.7159524053092436
2484,希華,5.4307326738878885,"30日衰退,20日衰退",-2.094931815454051
2485,兆赫,6.255072250982335,10日衰退,-0.7037659887205985
2486,一詮,12.762990497732508,5日衰退,-0.42973713748705755
2489,瑞軒,7.23613,10日衰退,-0.855966885245901
2491,吉祥全,5.744312018339674,10日衰退,-0.6834611257438308
2492,華新科,22.872235872477216,"20日衰退,5日衰退,10日衰退,30日衰退",-5.375569119317859
2493,揚博,7.885417666190478,"20日衰退,5日衰退,10日衰退",-1.040871190589777
2497,怡利電,3.4342560899316448,20日衰退,-0.9525382854226851
2527,宏璟,43.789149852389514,10日衰退,-0.548776719717651
2536,宏普,6.722233935432665,"30日衰退,20日衰退",-1.152582183590587
2540,愛山林,1.7111664045055999,10日衰退,-0.6131748806836896
2547,日勝生,14.176271149586437,5日衰退,-0.3988508297273583
2548,華固,14.57604655263156,"20日衰退,5日衰退,10日衰退,30日衰退",-0.42393137684186044
2610,華航,14.416545019324838,"5日衰退,10日衰退",-2.384488681084795
2618,長榮航,32.07301166004889,5日衰退,-0.4797787614081557
2630,亞航,3.567834303430142,20日衰退,-1.0265519360546085
2645,長榮航太,11.074138445627828,"20日衰退,5日衰退,10日衰退",-1.503067268252364
2646,星宇航空,3.1274770958559,5日衰退,-0.4070740859530666
2723,美食-KY,45.87459166666667,5日衰退,-0.42812444444444253
2731,雄獅,8.683815002205403,"20日衰退,10日衰退",-1.2218997778237313
2745,五福,-3.02872417448782,"20日衰退,10日衰退",-0.6312165162125085
2801,彰銀,17.800041769250214,"20日衰退,10日衰退",-0.7375779618712031
2812,台中銀,8.280104934720006,10日衰退,-1.126387466341253
2820,華票,9.338162417346757,"5日衰退,10日衰退",-0.6148620956692668
3008,大立光,31.69922268186923,"20日衰退,10日衰退,30日衰退",-0.940267263622907
3011,今皓,2.2787664251525634,"20日衰退,5日衰退,10日衰退,30日衰退",-0.5099999999999998
3014,聯陽,19.796993343051845,"30日衰退,5日衰退,10日衰退",-0.4239925739481727
3016,嘉晶,4.578553163137854,"20日衰退,5日衰退,10日衰退,30日衰退",-0.3561540789690527
3025,星通,4.0622613050801215,30日衰退,-2.4689127833892988
3026,禾伸堂,28.84403082306467,"20日衰退,5日衰退,10日衰退",-5.172493773626982
3028,增你強,10.729673800030167,"30日衰退,20日衰退",-1.4600513120417489
3036,文曄,21.729057308063165,"30日衰退,20日衰退",-0.9725579179260926
3041,揚智,5.840557957674571,30日衰退,-1.8183661814187442
3044,健鼎,39.07610854591285,30日衰退,-1.5562533692496743
3048,益登,6.199221655263169,"20日衰退,10日衰退",-1.9127183039690587
3050,鈺德,5.4455731010433635,"20日衰退,10日衰退,30日衰退",-0.8425788974313217
3055,蔚華科,4.042721021292661,"20日衰退,5日衰退,10日衰退",-2.438526663702426
3060,銘異,12.882458110341872,"30日衰退,20日衰退",-1.607328250384425
3090,日電貿,11.3021880437317,"20日衰退,5日衰退,10日衰退,30日衰退",-2.8575704109457547
3094,聯傑,2.9402543450481047,"30日衰退,5日衰退",-0.38519593377482186
3130,一零四,15.638267466489106,"20日衰退,5日衰退,10日衰退,30日衰退",-0.33794843133769525
3131,弘塑,-4.870335014966804,"20日衰退,10日衰退,30日衰退",-1.6406065073659275
3135,凌航,1.5290407996063453,"20日衰退,10日衰退",-0.6099422126745049
3163,波若威,2.0125720436238583,5日衰退,-0.3375851271426735
3167,大量,12.584834056466418,"20日衰退,5日衰退,10日衰退",-1.425020862274268
3209,全科,16.886164183571033,"20日衰退,5日衰退,10日衰退,30日衰退",-0.8109603771957659
3227,原相,0.974515138471963,"20日衰退,5日衰退,10日衰退,30日衰退",-0.43064110006572265
3305,昇貿,3.7474014587483784,"20日衰退,5日衰退,10日衰退,30日衰退",-0.9921520263733536
3312,弘憶股,1.7624480118103139,"5日衰退,10日衰退",-0.5872060003893729
3376,新日興,9.379071664528494,30日衰退,-1.9350554987632016
3413,京鼎,24.489144557154294,"5日衰退,20日衰退",-1.3548421393998034
