排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
207,2637,慧洋-KY,102.5,0.5,0.49,09/21,49.0,45.5,54.3,45.9,44.8,37.2,38.7,37.2,35.0,33.8,24.6,36.3
208,8446,華研,84.6,-0.1,-0.12,09/21,23.3,63.9,54.3,43.7,26.2,21.4,15.5,25.3,14.8,3.13,0.75,21.0
209,7715,裕山,28.35,0.35,1.25,09/21,39.1,59.1,54.2,50.3,42.5,24.6,18.9,16.2,8.57,,,13.7
210,3227,原相,184.0,-2.0,-1.08,09/21,50.9,48.0,54.2,55.3,53.6,45.8,33.7,32.0,31.3,26.6,13.8,32.7
211,3131,弘塑,2465.0,20.0,0.82,09/21,58.8,57.4,54.1,53.5,45.6,38.4,43.2,42.6,37.2,31.8,21.6,38.6
212,3044,健鼎,524.0,6.0,1.16,09/21,32.1,51.6,54.0,55.1,48.8,50.0,54.2,48.8,47.8,43.5,42.8,48.0
213,6558,興能高,24.1,0.2,0.84,09/21,17.4,57.8,54.0,46.1,44.9,43.2,36.0,31.1,26.3,16.9,,29.3
214,1101,台泥,24.15,-0.2,-0.82,09/21,58.8,70.7,53.9,62.2,55.8,76.6,63.9,60.2,52.5,49.2,46.7,54.9
215,3607,谷崧,13.8,-0.05,-0.36,09/21,30.3,26.4,53.8,48.8,39.1,40.9,32.3,29.0,25.7,24.0,17.3,28.2
216,2845,遠東銀,13.55,0.0,0.0,09/21,34.8,64.5,53.8,53.0,41.8,33.4,37.9,37.3,36.7,36.5,30.4,38.5
217,6546,正基,60.6,0.6,1.0,09/21,16.7,67.5,53.8,51.8,41.0,32.9,37.9,29.3,28.6,22.5,,28.1
218,6988,威力暘-創,12.05,0.05,0.42,09/21,45.8,56.2,53.7,49.1,45.4,43.5,29.7,16.2,8.83,,,12.6
219,4722,國精化,191.0,1.5,0.79,09/21,33.4,57.3,53.7,49.4,42.2,37.7,32.7,28.3,25.2,23.4,20.5,27.4
220,7842,天能綠電,96.7,0.3,0.31,09/21,42.6,48.3,53.7,30.7,26.1,28.7,18.6,,,,,
221,6928,攸泰科技,47.2,0.05,0.11,09/21,16.9,61.0,53.7,50.4,52.2,45.7,30.4,30.0,16.5,,,24.1
222,6269,台郡,65.3,1.2,1.87,09/21,48.2,57.5,53.6,51.1,44.2,37.3,39.5,35.8,36.6,36.2,27.4,36.1
223,6649,台生材,35.45,-0.3,-0.84,09/21,14.3,78.2,53.6,38.1,21.7,22.9,16.2,16.6,24.7,19.5,,20.4
224,6176,瑞儀,93.8,-2.3,-2.39,09/21,78.2,58.5,53.5,52.2,53.0,46.9,41.3,38.7,40.2,41.9,34.1,39.5
225,2883,凱基金,40.45,1.15,2.93,09/21,26.6,58.5,53.4,57.7,56.1,50.6,45.2,48.6,44.8,43.3,36.9,46.0
226,1570,力肯,32.4,0.1,0.31,09/21,9.87,62.2,53.4,49.4,34.3,24.4,34.8,21.0,16.6,18.6,12.9,20.1
227,2916,滿心,40.7,0.15,0.37,09/21,18.4,61.6,53.4,39.4,17.7,16.0,13.8,13.2,11.3,14.2,10.9,12.4
228,2474,可成,211.0,1.5,0.72,09/21,41.7,55.7,53.3,55.3,49.4,44.0,46.2,45.9,49.3,51.8,46.4,47.9
229,5880,合庫金,27.2,-0.1,-0.37,09/21,37.6,64.7,53.3,53.7,45.5,43.3,42.5,46.6,48.1,52.9,45.6,48.3
230,6823,濾能,59.7,0.5,0.84,09/21,24.9,78.3,53.3,45.5,34.6,22.9,23.6,23.2,10.6,7.47,,19.5
231,2430,燦坤,18.1,0.0,0.0,09/21,15.6,31.3,53.2,46.3,33.5,27.3,23.5,19.6,19.9,18.6,22.1,20.8
232,6139,亞翔,718.0,-15.0,-2.05,09/21,60.8,55.8,53.2,44.0,41.0,38.6,39.4,35.9,32.9,29.0,23.8,35.4
233,8234,新漢,62.5,0.0,0.0,09/21,41.0,57.2,53.1,50.9,43.8,36.2,23.6,25.8,14.2,1.65,1.09,23.0
234,2397,友通,61.8,0.4,0.65,09/21,12.4,34.2,53.0,51.9,42.6,48.1,31.4,27.9,29.1,22.1,18.5,28.1
235,4967,十銓,276.5,-0.5,-0.18,09/21,29.6,57.6,53.0,44.8,33.9,29.4,28.8,28.9,25.7,22.6,,28.0
236,5490,同亨,25.75,0.35,1.38,09/21,52.3,55.7,53.0,47.9,47.2,39.6,27.1,25.6,26.6,19.4,12.5,26.4
237,6188,廣明,62.7,0.1,0.16,09/21,52.8,61.2,52.9,46.1,44.6,44.9,37.2,33.9,30.0,21.6,15.7,31.4
238,1734,杏輝,32.0,-0.8,-2.44,09/21,70.7,59.4,52.8,61.6,53.6,41.8,31.9,29.7,27.4,22.0,14.4,28.1
239,2597,潤弘,171.0,-1.5,-0.87,09/21,50.5,49.8,52.8,53.0,36.5,35.3,40.7,41.3,42.8,37.2,26.3,43.6
240,4966,譜瑞-KY,567.0,-1.0,-0.18,09/21,58.9,55.2,52.7,52.2,49.6,38.2,39.8,29.9,35.6,37.7,35.2,33.1
241,2241,艾姆勒,37.35,2.9,8.42,09/21,35.6,30.9,52.7,50.5,45.6,45.1,43.2,30.4,29.7,23.1,,30.9
242,3036,文曄,206.5,1.0,0.49,09/21,43.2,55.6,52.7,59.1,60.1,70.1,53.4,48.9,51.6,43.3,38.4,48.7
243,1903,士紙,47.1,0.95,2.06,09/21,13.7,63.3,52.7,61.9,54.6,44.8,29.9,31.1,27.9,23.5,20.4,29.7
244,6671,三能-KY,23.05,0.0,0.0,09/21,32.8,6.23,52.7,40.7,38.2,13.2,12.0,14.4,12.7,9.0,,14.2
