股票代號,股票名稱,法人持股,上榜區塊
6257,矽格,26.077302926206727,"60日,20日"
6271,同欣電,34.851161909001874,"60日,5日,20日,120日"
6277,宏正,9.517123658105087,"60日,120日"
6282,康舒,15.01794518925613,60日
6285,啟碁,23.850261887102597,"5日,60日,120日"
6405,悅城,3.94,5日
6409,旭隼,57.45898344594937,"60日,20日"
6414,樺漢,44.35305632662927,"60日,5日,20日,120日"
6415,矽力*-KY,84.04690342704251,"60日,120日"
6416,瑞祺電通,5.617927700186208,"5日,60日"
6426,統新,9.711983432444365,5日
6438,迅得,7.043644144778398,20日
6442,光聖,37.33894359122117,5日
6443,元晶,12.81,"5日,120日"
6446,藥華藥,26.59766484741856,"60日,20日,120日"
6449,鈺邦,11.436713318307614,"60日,120日"
6451,訊芯-KY,64.1829534284193,5日
6456,GIS-KY,43.87749147037431,5日
6472,保瑞,11.507754160359129,5日
6477,安集,3.53,20日
6491,晶碩,19.57063205128205,"60日,5日,20日,120日"
6505,台塑化,6.839860205252946,5日
6525,捷敏-KY,15.348557717373023,"5日,20日"
6526,達發,8.565620123855714,20日
6531,愛普*,36.6973560555846,"5日,60日,120日"
6550,北極星藥業-KY,68.53,120日
6579,研揚,4.227128160970879,20日
6591,動力-KY,18.15513647832152,5日
6672,騰輝電子-KY,25.876987295888018,"60日,20日,120日"
6691,洋基工程,17.48480275252681,60日
6695,芯鼎,5.68,"60日,20日,120日"
6706,惠特,10.9527414979198,"5日,120日"
6715,嘉基,8.93961081179684,"60日,120日"
6719,力智,7.023594863576879,20日
6742,澤米,2.46,5日
6753,龍德造船,4.60606146914988,20日
6770,力積電,16.797627264194798,"60日,20日"
6782,視陽,9.306153968253968,20日
6799,來頡,11.755876294691541,"60日,20日,120日"
6805,富世達,19.460382067855047,5日
6830,汎銓,11.091450525613391,"60日,5日,20日,120日"
6831,邁科,22.399773333333332,"60日,20日,120日"
6861,睿生光電,3.0548077789863997,"5日,20日"
6890,來億-KY,91.31131876503609,"60日,120日"
6944,兆聯實業,18.231371092747967,"5日,60日,120日"
6949,沛爾生醫-創,3.08,"5日,20日"
6962,奕力-KY,39.52438740570825,20日
6994,富威電力,6.61,"60日,20日,120日"
7610,聯友金屬-創,19.06,"60日,5日,20日,120日"
7631,聚賢研發-創,0.9,5日
7740,熙特爾-創,5.48,5日
7750,新代,18.097530030761522,"60日,120日"
7769,鴻勁,23.470397932529316,"60日,120日"
7795,長廣,10.095849787830543,"60日,20日"
7827,漢康-KY創,23.7,"5日,20日"
8016,矽創,43.32128905166471,"60日,5日,20日,120日"
8021,尖點,22.32857361789082,"5日,20日,120日"
8028,昇陽半導體,28.421862481858092,"60日,20日,120日"
8033,雷虎,16.21766025920888,"60日,20日,120日"
8039,台虹,22.845135910974804,"60日,5日,20日,120日"
8046,南電,26.863866319635235,"60日,20日,120日"
8105,凌巨,41.18811256114048,"5日,20日,120日"
8114,振樺電,14.922872829398143,"5日,20日"
8131,福懋科,6.232849019620617,"60日,20日,120日"
8150,南茂,45.674862493640845,"20日,120日"
8163,達方,9.577312143152456,"5日,60日"
8210,勤誠,9.686775230657892,5日
8261,富鼎,6.733019171364472,"5日,20日,120日"
8454,富邦媒,15.629695161180603,"60日,120日"
8462,柏文,5.037512023643339,"5日,20日"
8473,山林水,4.22,"60日,120日"
8996,高力,50.1171021838496,"60日,20日,120日"
9105,泰金寶-DR,1.0,5日
9802,鈺齊-KY,42.293790439467614,5日
9921,巨大,27.77487657970936,5日
9933,中鼎,18.774831187634263,"60日,120日"
9939,宏全,15.18448175157434,5日
9941,裕融,6.308220601692166,60日
