排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
235,8042,金山電,121.5,11.0,9.95,09/07,0.0,-543.0,-753.0,-2759,3585.0,22873.0,24885.0,12694.0,19755.0,6710.0
236,6526,達發,644.0,9.0,1.42,09/07,325.0,2923.0,3822.0,-2671,-14738.0,-23682.0,-49218.0,-78104.0,1174.0,-39253.0
237,5328,華容,60.7,-0.3,-0.49,09/07,-18.5,-1363.0,-1327.0,-2654,-2579.0,699.0,-4456.0,1064.0,963.0,-4431.0
238,00772B,中信高評級公司債,32.17,-0.22,-0.68,09/07,0.0,-2760.0,-2760.0,-2621,-4737.0,-14816.0,-15496.0,-5083.0,-349.0,5294.0
239,00400A,主動國泰動能高息,15.21,0.16,1.06,09/07,-13.7,-2548.0,-2577.0,-2577,-2477.0,-3949.0,17268.0,,,
240,9105,泰金寶-DR,8.85,0.2,2.31,09/07,-1727.0,-1687.0,-1708.0,-2570,-2672.0,-8685.0,-9467.0,-27219.0,-17202.0,-33176.0
241,8016,矽創,291.5,-2.0,-0.68,09/07,-146.0,87.3,616.0,-2561,-13385.0,-36158.0,-61768.0,6395.0,25376.0,-11303.0
242,00663L,國泰臺灣加權正2,109.7,3.45,3.25,09/07,0.0,-21.0,-2948.0,-2531,-3284.0,-7897.0,1807.0,16610.0,37657.0,30224.0
243,8110,華東,43.85,0.3,0.69,09/07,619.0,-452.0,217.0,-2524,-3389.0,-7168.0,1439.0,21870.0,28362.0,23513.0
244,6691,洋基工程,624.0,5.0,0.81,09/07,-748.0,5726.0,3404.0,-2480,1632.0,14254.0,26794.0,23953.0,24577.0,24985.0
245,2457,飛宏,22.9,0.15,0.66,09/07,-253.0,-240.0,-1695.0,-2457,-3395.0,-4267.0,8532.0,-11799.0,29707.0,-19653.0
